session_id,timestamp,avg_buffer,min_buffer,max_buffer,focus_time,attention_time,avg_kpm,mouse_activity,pause_count,app_switches,session_duration,hour_of_day,day_of_week,session_mode_is_standard,is_synthetic,focus_score
4a114221-d78b-4d5e-82eb-fd61f1510c3e,1777070823172,81.1,54.05,99.07,2364.3,2388.75,23.03,4590,0,4,2484,4,6,1,1,84
c69ec765-7401-460e-bbc0-646409f0820d,1777075188172,82.18,78.0,100.0,1877.46,1955.35,31.15,4375,2,3,2067,5,6,1,1,88
f0ea504f-36bf-4ad1-9847-12afa5db51a5,1777159477172,95.0,62.84,99.44,2155.97,2017.22,37.77,2926,1,2,2234,4,0,0,1,87
bfc8b1f2-b06a-446a-974e-9a7bb1afea64,1777188924172,85.64,61.15,95.7,2510.08,2302.18,33.49,2783,0,6,2783,13,0,0,1,79
d518309e-b357-4a3f-9a56-95e121a6c956,1777229141172,87.81,70.98,97.42,2645.02,2394.62,25.32,4756,0,2,2699,0,1,0,1,80
e6ff8567-284f-4b3f-9c24-7c974f967ebd,1777264394172,93.41,78.0,99.57,2941.95,2856.82,23.09,5446,0,3,3228,10,1,1,1,77
410724fa-4c97-4340-9fdd-fd40354bd6c6,1777267836172,85.21,64.1,97.56,1733.27,1718.26,24.82,3162,0,4,1847,11,1,0,1,82
215e50f6-43b7-4955-aacb-f48106447045,1777284553172,83.74,66.02,99.73,2838.82,2691.56,33.41,4754,1,2,3039,15,1,0,1,89
003e0749-f89b-4aaf-b592-5f0bfc56aee9,1777333458172,86.12,58.81,97.3,1746.54,1765.16,34.33,4386,0,2,1885,5,2,1,1,79
78c2994c-2fb9-4d12-aac0-a8e3bd18d3e4,1777339009172,92.4,78.0,94.95,3188.44,3271.63,33.04,7177,0,1,3599,6,2,1,1,82
8ad575ef-050f-4a20-ae60-233fc5bbbd75,1777347850172,75.0,60.26,96.27,2923.78,2750.24,29.62,6266,0,4,3173,9,2,1,1,83
165459a5-ea7d-4355-a267-0a1fd7ca74de,1777456195172,84.96,68.61,99.63,2290.97,2228.47,38.7,6408,0,2,2445,15,3,1,1,79
eb04d52d-db6a-4807-95dd-e93493c6cdcf,1777500547172,88.19,61.33,97.39,2037.93,2172.28,21.17,4974,0,1,2331,3,4,0,1,84
863a7770-0731-4a50-826e-4ba95b9360e4,1777515578172,94.99,78.0,99.25,1609.33,1772.82,24.37,3425,1,2,1809,7,4,1,1,87
cf72bcf0-a27a-40e9-900b-3c9b2e4aa781,1777530343172,84.28,65.69,97.69,3134.42,2987.2,30.03,5888,0,3,3282,11,4,1,1,82
e05c0667-15a4-42b6-816c-85fe8aba3700,1777531092172,88.71,66.95,99.64,2781.84,2817.66,39.44,7288,0,4,3202,12,4,1,1,93
8b9b9f53-9f8b-4f04-b743-ee5e975444ae,1777536867172,77.1,63.09,99.65,1840.53,1757.04,22.69,4166,2,1,1944,13,4,0,1,89
647616e0-9e93-4b07-a50d-4d87cc6b1596,1777589117172,84.94,73.44,98.96,2745.74,2664.32,32.32,5176,1,2,2838,4,5,0,1,81
27e2de16-de1e-4dbb-b74f-eda260ce1ae0,1777606852172,86.3,58.76,93.61,2748.37,2922.36,21.89,9940,0,5,2982,9,5,1,1,93
0e84fcee-ab5b-40d9-9814-f65cf4ff0a72,1777633682172,79.71,60.9,98.34,2935.38,2684.72,15.0,6492,0,8,3106,16,5,0,1,92
8e2bad57-0b86-42ea-be11-0b7e9063431d,1777634380172,87.95,60.18,100.0,2421.46,2365.06,30.51,4850,0,1,2687,16,5,1,1,80
bd4c1415-7c0f-4fd3-bc9e-10c5d446b07b,1777711712172,84.21,61.58,95.98,2832.13,3035.74,28.44,4409,1,1,3254,14,6,0,1,82
e6e8afbd-3126-4647-8c2f-8ec492bb4e80,1777717806172,77.48,68.77,94.94,2855.4,2617.96,22.56,4922,0,4,3002,16,6,0,1,84
cee6ef3b-722b-4bc3-9781-f1009115d5af,1777780168172,81.0,63.68,98.0,1800.48,1699.53,28.9,3132,1,2,1947,9,0,0,1,95
7c364c56-d61e-47c6-9f28-60177a515509,1777858957172,79.46,73.32,96.0,1780.66,1777.01,24.62,1817,1,1,1817,7,1,0,1,80
8c7135e0-e8bd-401e-b897-22debbde0ef6,1777873270172,77.96,58.78,95.78,3370.92,3249.12,35.63,8182,0,1,3466,11,1,0,1,81
0ac7b997-243a-429e-975a-9dbf9e519708,1777874590172,87.45,78.0,98.88,3286.12,3146.5,26.35,5049,0,4,3432,11,1,1,1,80
db5c4b56-6142-47b8-b3b3-647ec8585806,1777885142172,76.65,78.0,95.52,2604.15,2770.25,17.48,6915,0,1,2908,14,1,1,1,75
38518cc9-2fb8-4db0-8ca9-d21e7df00417,1777886543172,82.28,66.33,96.05,3055.18,3035.05,27.61,4415,0,5,3323,14,1,0,1,89
35f3a115-b4d0-4c6f-829d-cb93ad28a8bc,1777901694172,85.85,63.53,98.04,2813.61,2656.31,23.33,6344,0,1,3024,19,1,1,1,89
649d49d0-e942-4a67-b0db-13c4221089cd,1777994371172,87.36,57.81,96.18,3055.17,3195.39,27.41,10775,0,3,3422,20,2,1,1,89
92f82d47-4b83-424f-bdd5-f567b6ede087,1777995237172,83.26,66.59,95.13,3169.45,2836.79,23.21,9029,0,2,3381,21,2,1,1,94
5c9e9779-7555-48d4-851f-9fbed0c75106,1777997941172,83.48,64.6,95.76,2375.28,2125.43,29.7,4755,1,2,2557,21,2,0,1,95
c3931525-04df-49f6-888c-a6e8886018bd,1778017334172,84.83,78.0,96.75,2041.31,1944.81,24.63,4852,0,3,2095,3,3,1,1,80
b6a9bcfe-31a5-4473-b5ae-56c38d32d735,1778062887172,83.76,54.45,97.55,2490.27,2366.92,32.9,6041,0,4,2616,15,3,0,1,86
8cb54dcc-92f0-49e8-9302-66f122a0259b,1778068865172,91.77,73.23,98.29,2645.63,2632.85,24.79,2981,0,2,2912,17,3,1,1,83
79350320-56a0-4502-850d-7a3d0aa7e7e8,1778114222172,84.23,64.68,99.36,2418.15,2366.53,33.63,4574,0,1,2626,6,4,0,1,86
4fb3749c-7be0-490e-b5d7-40f1d440520e,1778163522172,85.4,73.11,93.84,2574.79,2784.75,29.91,8824,1,4,2921,19,4,1,1,89
1a11a2b7-afd7-4f28-a823-f90970bc94f1,1778179634172,84.02,70.71,98.09,3131.26,2856.23,24.94,3273,0,2,3273,0,5,0,1,91
ee7d8910-7835-428f-9ce1-eaf32a379037,1778191840172,75.69,62.6,98.91,2061.8,1829.93,31.82,4107,0,1,2188,3,5,1,1,80
836c2048-7ffd-4ab6-905b-800ade252cd5,1778302900172,89.01,72.87,97.57,2942.01,2969.16,21.26,7018,2,5,3203,10,6,1,1,92
853562af-f563-4ba2-aa97-461d70b0c690,1778320941172,84.36,60.99,98.94,2948.83,2680.15,31.43,10249,0,4,3153,15,6,0,1,74
2cdc8802-9736-4198-988c-ae0359b055eb,1778333858172,95.0,67.75,97.25,2667.77,2587.67,42.14,7327,0,2,2968,19,6,1,1,82
b8e4e31b-7dd0-4927-98f0-a485ea49f1ef,1778348483172,87.53,63.39,96.19,2581.95,2422.38,28.61,6189,0,3,2720,23,6,1,1,84
71567567-b6c4-48ea-bb60-b8a574e1b683,1778350096172,90.15,61.08,100.0,1800.03,1863.98,31.5,3484,1,3,1914,23,6,1,1,86
9ae08c3c-b2f9-463e-975c-2ac5a00a75f4,1778377192172,79.16,59.06,96.14,3286.16,3299.4,27.43,7410,0,3,3504,7,0,1,1,79
4b662499-ac00-4311-972e-4691b0a1dc23,1778394160172,89.31,63.01,96.81,2712.64,2761.12,26.67,6383,0,3,3047,11,0,1,1,82
3c9f3dec-186d-4203-966d-3bcd98acfed3,1778416443172,88.04,66.49,97.11,2995.04,3050.43,21.84,6685,0,2,3235,18,0,1,1,81
f17aefd1-3b7f-496a-aea1-e0bbe95c258b,1778421957172,86.89,59.97,97.66,1976.22,2060.25,24.59,5157,0,2,2180,19,0,1,1,77
5135f401-da3f-47d0-9b50-42ac15b115db,1778426498172,78.85,63.58,99.3,2774.79,2760.92,35.86,5519,2,1,2922,20,0,0,1,77
13b98724-de74-46b5-b20c-67e17df4ccaf,1778433447172,93.3,64.64,98.49,2990.21,2994.53,20.49,8916,1,4,3276,22,0,0,1,83
ae3fbbd8-3723-4479-893d-3fb6a22b2c79,1778467690172,93.13,50.0,99.03,3174.79,3360.03,37.01,7595,0,1,3480,8,1,0,1,77
6449c7bc-77c7-4e49-b59e-b7b17326c625,1778489380172,90.77,59.92,99.99,1992.05,1964.28,26.96,3618,0,1,2185,14,1,1,1,87
e67a7b40-886a-4a0f-afb2-a9517d1362a2,1778509135172,89.7,71.77,97.35,2395.71,2186.86,27.46,6738,2,1,2600,19,1,0,1,89
4ffc8c3e-dac3-4a8a-81ac-dfc6fe8de58a,1778558965172,85.46,63.57,96.54,2210.96,2047.7,33.93,5520,0,4,2388,9,2,0,1,88
4ae1ceac-dc6b-4891-9088-9493ae64ff1f,1778596320172,92.38,77.19,98.74,2353.89,2330.75,31.13,5812,0,4,2573,20,2,1,1,94
4e5cade2-97b9-4687-974e-4850704508c9,1778642642172,90.86,78.0,96.62,1770.16,1653.32,24.09,3201,1,1,1821,8,3,1,1,81
a0c37030-0574-4346-8f4d-4a9bce96cb6f,1778711541172,87.53,50.0,96.31,2293.47,2107.96,25.15,3311,1,2,2494,4,4,0,1,83
1372d29c-5c2f-4457-903d-562c50da3762,1778722486172,87.51,50.09,96.2,1591.74,1786.54,27.37,5269,1,1,1823,7,4,0,1,88
53674e3e-4066-46e7-b6e4-c076b7cfb944,1778755102172,80.56,54.1,96.66,2719.55,2812.06,31.74,5627,0,6,3194,16,4,1,1,85
11932884-71b7-46a0-8640-dd47ec0738c5,1778767210172,75.0,64.8,100.0,1958.76,1851.79,32.63,2092,0,1,2092,19,4,0,1,85
9029f896-013d-41d8-9164-decccb91274b,1778810714172,89.04,55.03,100.0,1642.03,1530.59,26.37,1827,1,2,1827,7,5,0,1,87
e5333886-0af3-4526-accc-fd52eaee313c,1778820665172,78.04,59.06,95.39,2224.46,1932.32,31.02,2312,1,1,2312,10,5,1,1,92
a1e01ea4-83c5-41bb-b708-6c795d4b17c5,1778900181172,82.42,65.35,95.53,2271.14,2195.58,22.63,3772,0,4,2419,8,6,1,1,84
340d8d78-298a-415a-bd2e-b7bf3ff1be2d,1779019867172,87.0,50.0,100.0,2687.86,2754.82,22.37,6982,0,2,3007,17,0,1,1,93
77d56959-1420-47ec-b886-ed8cff9d7dbd,1779029331172,89.03,55.25,97.9,1745.32,1710.36,29.0,3391,1,2,1885,20,0,1,1,87
630e599f-d2a4-426f-864c-5817748c37ab,1779031276172,85.71,78.0,95.71,3230.41,3024.4,27.62,7525,1,4,3477,20,0,1,1,91
f9519912-e91e-4679-bb76-eaccbe13e520,1779039161172,91.12,70.55,97.78,2967.73,2931.73,25.65,3982,0,1,3147,23,0,0,1,90
e9a3d4f1-d2cf-4056-9f6d-4f5e507293a7,1779094520172,92.93,57.92,100.0,1696.18,1724.22,20.24,3300,0,3,1942,14,1,1,1,89
4c70b992-5022-418f-a91c-22e9f750f066,1779107466172,95.0,65.26,94.74,2535.78,2201.96,24.8,7708,1,3,2741,18,1,1,1,82
b6eaaa68-4a18-4239-9eb3-cadc18f8e12a,1779108221172,91.31,71.07,98.56,1970.87,1916.15,23.48,3970,0,1,2135,18,1,0,1,79
9bbb9105-fca1-4344-98e7-1c9db0cb4e9e,1779130064172,46.73,13.92,67.03,420.72,439.15,4.8,578,6,22,1350,0,2,0,1,41
7f8bb4f3-965c-48ac-8a86-60d78d0d1dbe,1779148809172,33.33,7.73,69.23,308.37,331.33,6.43,151,5,19,911,5,2,1,1,32
8d05c0c5-83e6-4623-8f5f-c4a76fbf670d,1779149111172,29.22,5.67,66.41,226.08,103.86,6.13,340,6,5,609,5,2,0,1,25
29f03ae8-96bc-48ad-8a97-2786a52a1493,1779161175172,33.67,9.02,55.98,722.41,581.91,4.76,1293,7,38,2299,8,2,1,1,39
60262344-9e5a-4c81-a0e6-a685db9ee2db,1779180116172,36.41,4.59,70.34,282.32,312.97,10.69,804,5,13,1249,14,2,1,1,33
ea30db00-198d-418e-b4c1-06f6ee6bee29,1779233947172,41.77,7.01,71.94,788.42,782.69,1.0,446,3,16,1790,5,3,1,1,42
88177135-33f9-4242-8cdd-e6632ccb6de0,1779238127172,28.27,12.81,73.25,557.75,524.05,11.35,404,4,13,1555,6,3,1,1,34
b51390a1-c551-4bbf-84a8-a19a15183d54,1779258131172,43.68,2.2,59.97,270.65,298.21,5.33,445,3,10,953,11,3,0,1,22
ff153746-dee2-4b22-972f-597c88a0330d,1779284893172,27.59,14.94,73.73,260.77,139.05,4.05,378,7,8,654,19,3,0,1,34
7dec4f56-5024-418b-adf8-1a8223818089,1779293861172,27.88,10.53,63.78,568.9,526.77,2.64,334,7,11,1399,21,3,1,1,25
980af231-904c-4bcd-8ca0-41cd58b6a5eb,1779348154172,25.38,2.0,68.11,787.9,429.5,7.52,613,5,17,1434,12,4,1,1,40
9324a07f-3e64-420e-b73a-b823fa623758,1779365731172,33.56,7.33,72.94,567.85,404.82,6.61,501,4,21,1690,17,4,1,1,33
21ad754c-7fca-475c-b81a-b479eb6e36c6,1779510841172,20.19,9.13,56.81,520.8,449.55,4.65,674,4,22,1392,10,6,0,1,30
6f06d1ac-c196-4884-8e06-45829f95a9b2,1779532767172,35.18,2.79,59.83,109.05,235.16,5.85,226,7,9,727,16,6,0,1,28
478863b3-cfab-4474-8076-df5f2dfc32aa,1779616791172,27.87,9.75,60.49,280.97,239.77,2.88,404,6,9,886,15,0,1,1,22
b78c1cb7-12ad-418a-afb8-159ad5d1efd1,1779636450172,35.76,3.86,72.3,272.97,338.17,1.87,272,6,12,700,20,0,0,1,23
f8502e6c-bdd1-4a0d-961d-8660766b82f9,1779673649172,39.25,8.73,72.03,309.88,224.4,4.48,274,7,9,754,7,1,1,1,30
44e3b796-6af1-4530-b740-fcab3e107a71,1779790871172,25.29,13.74,61.05,168.95,226.44,1.0,209,5,10,664,15,2,0,1,29
e330bf6a-d571-4c2d-99fb-8a2c321eb5e4,1779808339172,29.34,6.46,63.62,540.01,210.98,1.0,679,7,13,1109,20,2,0,1,31
eaf65ab6-93fd-450e-bd6b-238580de99f5,1779819970172,27.62,7.58,79.61,413.94,267.23,11.47,343,4,9,1024,23,2,0,1,17
af8f3df3-e9e6-4e5c-9e27-3c7365450e99,1779906259172,38.07,9.48,60.17,534.82,602.48,6.73,259,6,20,1555,23,3,0,1,34
13569070-631a-4551-9210-6bd47b4b0fe6,1779918751172,38.95,5.69,50.77,513.02,358.87,4.62,365,6,14,1139,3,4,0,1,31
1e539801-d44c-4f6a-ade2-6ddb52f48054,1780023481172,24.48,7.99,67.25,256.08,326.04,8.67,314,4,11,928,8,5,0,1,29
2d8dc186-d009-47fc-87cd-67b4b84c4a4e,1780068024172,25.6,15.82,79.39,560.83,475.69,2.44,635,3,12,1369,20,5,0,1,18
7e610f58-c9c2-443b-a2a9-61c2df905287,1780094086172,28.93,6.96,66.68,619.34,434.55,4.99,817,6,17,1584,4,6,1,1,35
c7f12f52-953b-4473-a048-6698cdc0df82,1780096938172,27.12,4.83,66.87,426.18,341.26,2.51,677,6,17,1260,4,6,1,1,26
1b3fa0cf-7bb6-47be-b052-5bc20f1f4936,1780141820172,24.82,9.84,57.21,464.27,812.33,7.56,673,7,29,2230,17,6,0,1,36
a2b13974-6329-42e1-b12e-53df1ba5c125,1780157991172,33.23,9.45,55.21,617.23,429.59,3.26,917,4,27,1852,21,6,1,1,33
ae06acaf-678e-448d-91eb-b50c5e5ee421,1780171776172,39.18,7.56,63.93,593.13,400.64,6.94,676,5,23,1689,1,0,1,1,29
e35f322a-6697-4fe2-8a98-be9ec3458f4a,1780214264172,39.33,16.91,61.8,674.87,687.03,1.0,333,7,20,1834,13,0,0,1,22
2fc7ff55-7d0b-4ea1-85b6-d5925c222e17,1780235923172,45.29,8.82,66.01,348.65,530.61,10.66,749,4,18,1182,19,0,1,1,24
c6c562b8-c7bf-4777-ae5d-ac614ce333bb,1780246754172,34.32,14.46,59.81,537.82,447.81,1.0,661,6,17,1263,22,0,0,1,26
b326dd7c-e73a-42b3-bb35-a08d6862f23c,1780284825172,34.88,4.54,66.52,566.48,641.99,1.77,529,6,19,1430,9,1,0,1,41
52456077-32dc-4fa3-adc5-ae8c90cf4204,1780287121172,41.26,11.42,65.39,831.92,492.79,10.06,1361,3,22,2128,9,1,0,1,22
c4f2d33b-247e-4f77-8c58-931bd2f050e8,1780309035172,36.16,9.59,72.27,300.83,199.58,5.44,229,3,7,648,15,1,1,1,32
e6dd2fca-4a83-4130-b58a-58f9fb8942b4,1780337745172,32.73,13.55,59.46,525.63,487.42,8.48,586,6,19,1525,23,1,0,1,28
4eeb32a8-a641-46fc-ac12-dfa092a89779,1780447326172,20.31,13.13,73.57,247.69,244.46,4.29,393,7,15,849,6,3,0,1,20
39a64121-10f2-444e-9211-8cc8a33b53aa,1780484791172,28.83,11.63,64.96,746.68,471.88,3.33,532,5,24,1936,16,3,0,1,32
91545610-f1cf-4229-b8d7-aba00ba62d7f,1780537635172,27.06,9.34,68.76,515.25,390.11,1.0,459,4,17,1024,7,4,0,1,23
5b21ee45-7c38-496d-a52b-58dd59a3a2e2,1780543902172,20.0,11.62,57.93,484.87,419.14,4.63,821,6,18,1452,9,4,1,1,25
6e663016-1365-472a-aa21-c8382005a3ab,1780562121172,20.0,9.85,66.03,989.37,826.54,7.43,651,5,31,2273,14,4,1,1,39
f8bbafc9-2c6e-450b-99ea-da66e2552c2d,1780605899172,34.28,13.53,64.38,496.63,740.0,5.9,468,3,14,1480,2,5,0,1,28
87407b74-10bc-459e-9dc5-76f9ccc1dad4,1780612567172,32.68,4.25,72.35,408.64,619.91,8.24,491,4,23,1378,4,5,0,1,35
5b7925a2-d74e-4b6b-b069-325c8cf80316,1780689936172,35.94,3.74,75.38,755.7,432.29,4.72,513,6,14,1374,1,6,1,1,35
b03c940e-a8f3-461f-87d5-21e5ef5073e6,1780744957172,32.15,15.65,64.36,372.67,207.48,6.28,378,5,15,965,16,6,1,1,26
a3504775-1d1a-436a-b8f2-d901a4e88913,1780761347172,35.35,6.78,69.77,602.49,525.75,10.42,751,6,13,1621,21,6,0,1,36
752b628a-6dc3-488a-adf0-a18e2f453ebf,1780763645172,29.01,13.97,69.37,447.12,402.8,3.77,519,4,9,1581,22,6,1,1,41
3a2b1396-f78e-459d-ad0f-f7654ec8a0a9,1780854698172,22.26,9.59,74.8,307.85,271.06,6.12,271,4,8,872,23,0,1,1,33
762c4879-67ae-463f-bb20-2e193a891d1a,1780911033172,28.94,13.11,76.01,258.6,87.07,5.38,332,6,4,600,15,1,1,1,34
bd903357-b766-4596-87db-678d6c06c267,1780936488172,36.0,11.13,70.97,461.58,301.66,1.06,490,7,8,1444,22,1,1,1,35
76bdef7b-79fd-46ba-addb-c4e6acb06ab0,1780947192172,28.79,9.64,67.66,777.96,759.89,3.69,1033,4,24,2130,1,2,1,1,36
f6b4a0be-aa64-4957-8f99-dc5f610044c9,1780956994172,44.34,7.86,71.46,857.03,1009.9,4.33,836,3,14,2259,3,2,1,1,28
1a178cd9-a756-4d72-8060-b2582565f048,1781030632172,36.47,6.46,59.75,854.81,482.21,1.18,1374,6,30,2362,0,3,1,1,25
b9dd64c5-7791-4d56-8d09-a547db450c0c,1781056347172,32.22,9.75,52.83,692.24,829.36,1.64,763,5,22,1899,7,3,1,1,35
f4329078-523a-465a-94a1-f9c180c74445,1781112210172,41.84,12.97,65.6,482.06,609.12,2.47,1534,4,25,2173,22,3,0,1,32
3e9ec639-6afa-4725-bfba-15594c2be4ee,1781125508172,31.88,7.51,66.56,641.36,429.04,3.16,908,5,25,2207,2,4,0,1,17
7d64dbd7-7a3d-4e61-8e23-7d3f7974cdb9,1781164670172,24.27,2.0,72.7,1031.83,619.82,5.87,718,7,12,1914,13,4,1,1,18
31278dcc-cb08-49a8-901e-2a156725f668,1781178161172,32.69,13.32,60.35,410.04,249.15,8.11,420,3,12,981,17,4,1,1,26
05d82f31-adfe-429c-b3e2-d80dab048a06,1781263172172,23.73,2.57,71.65,731.35,788.64,9.59,1176,6,23,2180,16,5,1,1,30
bcb70c43-5d2a-420e-8b92-787228209ba3,1781279441172,28.31,13.27,55.36,575.3,560.54,5.58,445,6,17,1449,21,5,0,1,35
c431f1ea-6690-49bb-be05-87650d99b9eb,1781280661172,33.01,11.77,56.28,296.24,186.95,5.06,327,3,8,640,21,5,0,1,32
be05c0a8-de4e-4614-9209-1001f6090e3a,1781321471172,25.55,5.43,65.87,426.54,347.95,4.61,204,7,18,1228,9,6,1,1,28
b08b7997-0cc9-408f-b439-54ff955e4e3a,1781328211172,39.59,6.54,72.76,672.31,434.53,10.33,450,7,27,1750,10,6,1,1,21
e5435448-b3df-4a82-bdc5-2e13df7073fb,1781359863172,34.79,18.76,53.97,666.33,660.71,4.18,843,6,19,2074,19,6,0,1,38
fdf82c01-870d-41f8-ae91-184a91c29190,1781377701172,29.57,10.52,66.82,276.87,615.7,3.51,461,7,20,1532,0,0,1,1,31
b4830cb2-432e-4e6c-986b-b38844da1475,1781417689172,38.95,17.57,61.3,730.39,439.23,5.02,744,5,13,2109,11,0,0,1,21
b96e4949-b96c-4ad0-9d64-af74b1d9bcf0,1781428241172,21.18,8.58,64.25,266.66,231.08,7.71,153,6,5,724,14,0,1,1,45
c82d7956-f261-4c0a-a376-576048ec16d9,1781466105172,21.17,12.55,69.01,198.5,247.35,2.64,321,3,18,964,1,1,0,1,30
e9d717e3-a714-4a90-8ce3-7a6a5fae41f2,1781506518172,20.12,12.99,56.42,272.43,343.85,2.24,123,3,8,738,12,1,1,1,23
a7b89434-ca52-43a0-8020-f84070c1ecbe,1781568664172,24.79,5.08,68.97,715.32,666.72,12.0,494,5,30,2287,5,2,1,1,23
80377a45-d73d-445f-9a1b-635c6a4e5bb8,1781652246172,28.73,9.8,67.61,1108.58,722.19,3.82,800,3,28,2308,4,3,1,1,24
68257c7b-3648-4a0d-975c-b443b8fed6b2,1781783329172,32.17,11.02,73.37,332.27,330.03,6.92,454,5,7,1419,17,4,1,1,45
5ed09ae8-2c4b-4ff1-bfe9-a51d5dea7c1c,1781843978172,31.36,13.82,81.88,593.58,931.29,6.15,1014,6,28,2314,10,5,0,1,21
ad4cf09a-ba22-4ce7-93fa-7cead3739382,1781877242172,37.78,12.37,45.0,579.16,454.12,4.94,525,7,28,1439,19,5,1,1,32
724ad221-2e22-4066-abf3-c20d1ebb6e17,1781886190172,28.24,13.45,72.63,714.44,654.08,6.55,604,7,25,1827,21,5,1,1,31
670b8bcf-d634-441e-b5e3-faf5fa83630a,1781930746172,32.87,6.93,66.69,325.9,341.6,1.0,228,5,11,1146,10,6,1,1,28
12a2210c-925a-47e4-83a0-caecadb6a62b,1781961030172,27.7,11.34,61.21,923.81,477.11,4.79,1263,6,38,2308,18,6,1,1,20
